inicio,fim,distancia,estrada,dificuldade_fisica,dificuldade_tecnica,subida,descida,inclinacao_media,cod_caminho
Diamantina,"São Gonçalo do Rio das Pedras",33,terra," 5"," 5",16,14,8%,01
"São Gonçalo do Rio das Pedras",Serro,30,asfalto," 4"," 5",15,12,4%,01
Serro,"Alvorada de Minas",18,asfalto," 3"," 3",9,7,4%,01
"Alvorada de Minas",Itapanhoacanga,17,terra," 3"," 5",7,8,6%,01
Itapanhoacanga,"Santo Antônio do Norte (Tapera)",14,terra," 5"," 2",6,6,7%,01
"Santo Antônio do Norte (Tapera)","Conceição do Mato Dentro",34,asfalto," 5"," 5",16,15,1%,01
"Conceição do Mato Dentro","Morro do Pilar",27,terra," 4"," 5",12,11,6%,01
"Morro do Pilar","Itambé do Mato Dentro",35,terra," 5"," 3",16,17,4%,01
"Itambé do Mato Dentro",Ipoema,31,asfalto," 5"," 5",14,13,4%,01
Ipoema,"Bom Jesus do Amparo",13,asfalto," 2"," 3",5,7,1%,01
"Bom Jesus do Amparo",Cocais,25,asfalto," 4"," 5",10,11,3%,01
Cocais,"Barão de Cocais",14,terra," 2"," 4",6,6,5%,01
"Barão de Cocais","Santa Bárbara",14,terra," 2"," 2",5,6,1%,01
"Santa Bárbara","Catas Altas",20,trilha," 3"," 3",7,7,3%,01
"Catas Altas","Santa Rita Durão",19,terra," 3"," 3",7,9,4%,01
"Santa Rita Durão",Camargos,16,terra," 3"," 4",7,6,6%,01
Camargos,Mariana,18,terra," 3"," 2",6,8,2%,01
Mariana,"Ouro Preto",11,asfalto," 2"," 4",1,9,5%,01
"Ouro Preto","Lavras Novas",17,terra," 3"," 5",6,9,6%,02
"Lavras Novas",Itatiaia,23,asfalto," 3"," 5",12,9,7%,02
Itatiaia,"Ouro Branco",20,trilha," 3"," 5",9,9,4%,02
"Ouro Branco","Conselheiro Lafaiete",22,asfalto," 3"," 5",10,10,5%,02
"Conselheiro Lafaiete",Queluzito,19,terra," 3"," 3",7,10,2%,02
Queluzito,Carandaí,29,terra," 4"," 5",12,15,6%,02
Carandaí,Ressaquinha,30,terra," 4"," 5",14,13,7%,02
Ressaquinha,Barbacena,28,terra," 4"," 5",12,12,2%,02
Barbacena,"Antônio Carlos",13,asfalto," 2"," 3",7,5,4%,02
"Antônio Carlos","Santos Dumont",55,terra," 5"," 5",27,23,2%,02
"Santos Dumont","Ewbank da Câmara",18,trilha," 3"," 4",8,7,5%,02
"Ewbank da Câmara","Juiz de Fora",59,asfalto," 5"," 5",22,21,13%,02
"Juiz de Fora","Matias Barbosa",26,terra," 4"," 5",14,10,5%,02
"Matias Barbosa","Monte Serrat",24,terra," 4"," 3",12,9,11%,02
"Monte Serrat","Paraíba do Sul",20,terra," 3"," 3",9,8,4%,02
"Paraíba do Sul",Secretário,32,terra," 4"," 5",13,16,2%,02
Secretário,Petrópolis,33,asfalto," 5"," 5",13,16,4%,02
Petrópolis,"Porto Estrela",31,asfalto," 5"," 5",14,7,1%,02
"Ouro Preto",Glaura,28,terra," 3"," 5",11,12,7%,03
Glaura,"Santo Antônio do Leite",15,trilha," 2"," 3",6,7,2%,03
"Santo Antônio do Leite","Lobo Leite",37,asfalto," 5"," 5",18,16,2%,03
"Lobo Leite",Congonhas,7,terra," 1"," 2",3,4,7%,03
Congonhas,Pequeri,13,terra," 2"," 2",5,6,2%,03
Pequeri,"São Brás do Suaçuí",9,trilha," 1"," 3",3,5,5%,03
"São Brás do Suaçuí","Entre Rios de Minas",20,terra," 3"," 4",9,9,5%,03
"Entre Rios de Minas","Casa Grande",31,terra," 4"," 5",15,14,4%,03
"Casa Grande","Lagoa Dourada",28,terra," 4"," 5",12,14,10%,03
"Lagoa Dourada",Prados,21,calçamento," 3"," 5",9,9,5%,03
Prados,Tiradentes,18,terra," 2"," 3",7,9,3%,03
Tiradentes,"São João del Rei",11,calçamento," 1"," 1",5,4,2%,03
"São João del Rei","São Sebastião da Vitória",26,trilha," 4"," 5",10,12,4%,03
"São Sebastião da Vitória",Caquende,23,terra," 3"," 4",11,10,2%,03
"Capela do Saco",Carrancas,29,terra," 4"," 5",11,15,4%,03
Carrancas,Traituba,30,terra," 4"," 5",14,14,2%,03
Traituba,Cruzília,37,terra," 5"," 5",17,17,2%,03
Cruzília,Caxambu,26,terra," 4"," 4",12,14,2%,03
Caxambu,"São Lourenço",27,terra," 4"," 5",12,11,2%,03
"São Lourenço","Pouso Alto",16,terra," 3"," 3",7,6,5%,03
"Pouso Alto",Itamonte,23,terra," 3"," 4",11,9,3%,03
Itamonte,Itanhandu,10,terra," 2"," 2",4,5,4%,03
Itanhandu,"Passa Quatro",12,terra," 2"," 1",4,5,1%,03
"Passa Quatro","Vila Embaú",33,asfalto," 5"," 5",13,16,2%,03
"Vila Embaú",Guaratinguetá,38,asfalto," 5"," 5",17,17,5%,03
Guaratinguetá,Cunha,50,asfalto," 5"," 5",20,26,4%,03
Cunha,Paraty,57,asfalto," 5"," 5",32,21,2%,03
Cocais,Caeté,40,terra," 5"," 5",19,20,5%,04
Caeté,Sabará,43,terra," 5"," 5",25,16,5%,04
Sabará,Raposos,12,trilha," 2"," 5",4,5,9%,04
Raposos,"Honório Bicalho",13,trilha," 3"," 5",5,5,9%,04
"Honório Bicalho","Rio Acima",9,trilha," 1"," 2",3,4,1%,04
"Rio Acima",Glaura,43,terra," 5"," 5",19,22,6%,04
